date,category,title,amount
2023-12-30,educação,Pag*Agencialeiturasav,32.40
2023-12-29,saúde,Drogaria Araujo Filial,6.09
2023-12-29,supermercado,Subway,25.90
2023-12-29,lazer,Pag*Steam,16.74
2023-12-29,outros,Sorveteria Adriana,4.00
2023-12-29,lazer,Pag*Steam,28.63
2023-12-28,payment,Pagamento recebido,-300.00
2023-12-27,outros,Sorveteria Adriana,6.00
2023-12-25,supermercado,Lojas Americanas,23.97
2023-12-25,saúde,Drogaria Araujo Filial,12.99
2023-12-25,saúde,Drogaria Araujo,11.99
2023-12-25,viagem,Fmr00055,149.00
2023-12-24,bnpl_transaction_upfront_national,iFood,70.99
2023-12-23,vestuário,Lojas Rede,61.92
2023-12-23,outros,Ebn *Spotify,11.90
2023-12-23,phone_topup_brazil,Recarga de celular,20.00
2023-12-23,transporte,99app *99app,8.10
2023-12-20,bnpl_transaction_upfront_national,Uber,24.05
2023-12-20,bnpl_transaction_upfront_national_settled,Uber,-24.05
2023-12-20,bnpl_transaction_upfront_national,Uber,23.14
2023-12-20,restaurante,Padaria Pao e Trigo,6.52
2023-12-20,outros,Sorveteria Adriana,6.00
2023-12-17,casa,Apoio Mineiro,51.46
2023-12-17,restaurante,Pag*Panificadora,225.00
2023-12-17,casa,Apoio Mineiro,119.16
2023-12-17,casa,Pag*Varejaododidi,16.00
2023-12-17,serviços,Pag*Anagabriela,18.85
2023-12-16,restaurante,Ponto do Encontro Ii,26.95
2023-12-15,restaurante,Dom Espetim,56.40
2023-12-10,transporte,99app *99app,7.39
2023-12-09,transporte,99app *99app,12.60
2023-12-09,transporte,99app *99app,12.10
2023-12-06,transporte,99*,9.10
2023-12-06,transporte,99app *99app,11.50
2023-12-06,transporte,99app *99app,10.40
